idiom,meaning,language,domain,register,english_idiom,target_translation
Trinajst,thirteen,en,,,Baker's dozen,Baker's dozen
Napačno usmerjanje / iskanje krivca na napačnem mestu,responding to something which isn't the important issue,en,,,Barking up the wrong tree,Barking up the wrong tree
Cockney rima za lase / izraz za lase,cockney rhyming slang for hair,en,,,Barnet Fair,Barnet Fair
Opisuje osebo ali stvar ki ne more več normalno delovati,a person or thing that is no longer able to function effectively - either through disability or misfortune,en,,,Basket case,Basket case
Slengovski izraz za homoseksualnost,slang term for a homosexuality,en,,,Bat from the pavilion end,Bat from the pavilion end
Biti fer / izkazati športno držo,be generous and/or sportsmanlike,en,,,Be a sport,Be a sport
Biti vesel ob odhodu nekoga ali koncu neprijetne situacije,be happy when a person leaves or when an unpleasant situation is ended,en,,,Be glad to see the back of,Be glad to see the back of
Oseba ki ves čas preživlja na plaži in živi brezskrbno,someone - usually a youngster - who spends all their time hanging out at the beach surfing and partying,en,,,Beach bum,Beach bum
Poniževalen izraz za računovodjo ali statistika,a disparaging term for an accountant or anyone who compiles statistics,en,,,Bean counter,Bean counter
Izogibanje bistvu / zavlačevanje,avoiding the main topic,en,,,Beat around the bush,Beat around the bush
Politično tekmovanje kjer videz in podoba prevladujeta nad vsebino,a political contest in which the result is influenced by personality and image more than by policy,en,,,Beauty contest / Beauty parade,Beauty contest / Beauty parade
UK izraz za zmanjšanje subvencije za dodatno spalnico,slang term for uk's removal of spare room subsidy,en,,,Bedroom tax,Bedroom tax
Dodatne funkcije ali okraski,attractive additional features or trimmings,en,,,Bells and whistles,Bells and whistles
Zelo se potruditi / narediti vse mogoče,make extravagant efforts to avoid bias,en,,,Bend over backwards,Bend over backwards
Med dvema slabima možnostma,between two unwelcome options,en,,,Between a rock and a hard place,Between a rock and a hard place
Obdobje med prvo in drugo svetovno vojno,the period between wwi and wwii,en,,,Between the wars,Between the wars
Neizmerno dragoceno,to be so prized and valuable as to not be obtainable by money,en,,,Beyond price,Beyond price
Pomembna oseba v omejenem okolju,an important person but only so within a small area of influence,en,,,Big fish in a small pond,Big fish in a small pond
Gledati več epizod zapored,watch multiple episodes of a television programme in succession,en,,,Binge watch,Binge watch
Poniževalna klofuta,an open-handed slap in the face intended to be humiliating,en,,,Bitch slap,Bitch slap
Prevzeti preveč nalog / preseči lastne zmožnosti,take on a task that is more than one can manage,en,,,Bite off more than you can chew,Bite off more than you can chew
Umreti (pogosto nenadno ali nasilno),die - especially in a violent or sudden way,en,,,Bite the dust,Bite the dust
Zadržati mnenje / molčati,avoid speaking,en,,,Bite your tongue,Bite your tongue
"Cockney rima za besedo \sister\""""",cockney rhyming slang for sister,en,,,Blood blister,Blood blister
Družinska vez je močnejša od drugih odnosov,family loyalties are stronger than those to other people,en,,,Blood is thicker than water,Blood is thicker than water
"Cockney rima za \prdec\""""",cockney rhyming slang for fart,en,,,Blow a raspberry,Blow a raspberry
Obrok po znižani ceni,a set meal provided at a reduced price,en,,,Blue plate special,Blue plate special
"Cockney rima za \face\""""",cockney rhyming slang for face,en,,,Boat race,Boat race
Cockney rima za zadnjico,cockney rhyming slang for arse,en,,,Bottle and glass,Bottle and glass
Umreti (pogosto v nesreči ali nasilno),died - especially in a violent way which may give rise to an insurance claim,en,,,Bought the farm,Bought the farm
Cockney rima za pijan,cockney rhyming slang for pissed,en,,,Brahms and Lizst,Brahms and Lizst
Zelo mrzlo vreme,extremely cold weather - the full expression is 'cold enough to freeze the balls off a brass monkey',en,,,Brass monkey weather,Brass monkey weather
Cockney rima za dejstva,cockney rhyming slang for facts,en,,,Brass tacks,Brass tacks
"Običaj za zaželenje sreče igralcu brez izreka \sreča\""""",a superstitious way to wish 'good luck' to an actor before a performance while avoiding saying 'good luck' out loud - which is considered unlucky,en,,,Break a leg,Break a leg
Slogan kampanje za spodbujanje dojenja,slogan of breastfeeding campaign,en,,,Breast is best,Breast is best
"Cockney rima za besedo \daughter\""""",cockney rhyming slang for daughter,en,,,Bricks and mortar,Bricks and mortar
"Cockney rima za besedo \queer\""""",cockney rhyming slang for queer,en,,,Brighton Pier,Brighton Pier
Delovati / nastopiti z največjim trudom in sposobnostjo,perform to the best of your ability,en,,,Bring your A game,Bring your A game
"Cockney rima za besedo \dead\""""",cockney rhyming slang for dead,en,,,Brown bread,Brown bread
Delni izpad elektrike / razgaljanje zadnjice v javnosti,a partial failure of the electricity supply - the exposing of one's buttocks in public,en,,,Brown out,Brown out
Posnemanje zvoka vozila (otroška igra),child's play idiom expressing the sound of a vehicle,en,,,Brum brum,Brum brum
Seznam stvari ki jih želiš narediti v življenju,a list of things you plan to do before you 'kick the bucket' - often a list of fanciful ideas rather than of concrete plans,en,,,Bucket list,Bucket list
Delati pozno v noč,to work late into the night,en,,,Burn the midnight oil,Burn the midnight oil
Zaplesati / pokazati gibanje na plesišču,dance in a stylish way,en,,,Bust a move,Bust a move
Kupiti pokvarjen izdelek (pogosto avto),waste money by purchasing a car that is frequently faulty,en,,,Buy a lemon,Buy a lemon
Obdobje 12 mesecev od 1. januarja,twelve months beginning from the first of january,en,,,Calendar year,Calendar year
Ne izpolnjuje zahtev,unable to meet the demands put upon you,en,,,Can't cut the mustard,Can't cut the mustard
Kultura grobega ali neprimernega vedenja v organizaciji,boorish behaviour by rank and file police or soldiers,en,,,Canteen culture,Canteen culture
Mera izpustov ogljikovega dioksida,a measure of the amount of carbon dioxide emitted during an industrial or domestic process,en,,,Carbon footprint,Carbon footprint
Izkoristi dan,latin expression meaning seize the day,en,,,Carpe diem,Carpe diem
Oseba ki lahko poje karkoli brez težav,said to be possessed by someone who is able to eat anything with no ill effects,en,,,Cast iron stomach,Cast iron stomach
Vprašanje nekomu ki molči brez razloga,a question addressed to someone who is inexplicably silent - the implication is that the person's tongue is missing,en,,,Cat got your tongue?,Cat got your tongue?
Težko se odločiti med dvema možnostma,finding it difficult to choose between two alternatives,en,,,Caught between two stools,Caught between two stools
Ujet v situaciji brez izhoda,trapped by an opponent in a situation you can't escape,en,,,Caught by the short hairs (or short and curlies),Caught by the short hairs (or short and curlies)
Ameriški zapis za ležalni stol / počivalnik,the american spelling for the piece of furniture known elsewhere as a chaise longue,en,,,Chaise Lounge,Chaise Lounge
Mišični krč v roki ali nogi,stiffness or cramp in the arm or leg,en,,,Charley horse,Charley horse
Moški ki zapeljuje več žensk,of a man pursuing women,en,,,Chasing tail,Chasing tail
Tesno skupaj / drug ob drugem,side by side - close together,en,,,Cheek by jowl,Cheek by jowl
Nepomemben znesek / drobiž,something of little importance - especially a small sum of money,en,,,Chicken feed,Chicken feed
"Cockney rima za besedo \pipe\""""",cockney rhyming slang for pipe,en,,,Cherry ripe,Cherry ripe
Ostro nekoga okarati,verbally scold someone,en,,,Chew someone out,Chew someone out
Otroci naj ne motijo odraslih,old proverb suggesting that children should not impinge on the adult world,en,,,Children should be seen and not heard,Children should be seen and not heard
"Cockney rima za besedo \mate\""""",cockney rhyming slang for mate,en,,,China plate,China plate
Začeti jesti,begin to eat,en,,,Chow down,Chow down
Mestno kolo,a bicycle designing especially for urban riding,en,,,City bike,City bike
Spletna vsebina z namenom privabljanja klikov,an eye catching word or image on a website,en,,,Click bait,Click bait
Skoraj uspeh a ne povsem,very near to success but falling short,en,,,Close but no cigar,Close but no cigar
Nerealno idealiziran svet,an imaginary idealistic state where everything is perfect - it is usually used with reference to someone who has an overly optimistic and unrealistic belief,en,,,Cloud cuckoo land,Cloud cuckoo land
Neverjetna / izmišljena zgodba,an unbelievable tale,en,,,Cock and bull story,Cock and bull story
Poniževalen izraz za programerja,slang term for a computer programmer,en,,,Code monkey,Code monkey
Ne glede na težave,despite any great difficult or obstacle,en,,,Come hell or high water,Come hell or high water
Ženske prisiljene v spolno suženjstvo med drugo svetovno vojno,women forced into sexual slavery by the japanese in wwii,en,,,Comfort women,Comfort women
Zaposleni zelo lojalen podjetju,a worker especially loyal to the employer he works for,en,,,Company man,Company man
Prevzeti agresiven ali izzivalen odnos,adopt an aggressive stance,en,,,Cop an attitude,Cop an attitude
Cesta z izboklinami in vdolbinami podobna tkanini,a road that is ridged and furrowed like the fabric,en,,,Corduroy road,Corduroy road
Hotel v obnovljenem podeželskem dvorcu na podeželju,an upmarket hotel located in a revamped rural mansion,en,,,Country house hotel,Country house hotel
Nasmejati nekoga,make someone laugh,en,,,Crack someone up,Crack someone up
Zelo utrujen / povsem izčrpan,cockney rhyming slang for knackered,en,,,Cream crackered,Cream crackered
Reševati problem ko se pojavi,deal with a problem if and when it becomes necessary - not before,en,,,Cross that bridge when you come to it,Cross that bridge when you come to it
Upati na dober izid,to hope that something happens,en,,,Cross your fingers,Cross your fingers
Čas največjega pritiska pred zaključkom projekta,the period of time just before a project has to be completed,en,,,Crunch time,Crunch time
Lažno alarmirati,intentionally raise a false alarm,en,,,Cry wolf,Cry wolf
Pretirana radovednost je lahko nevarna,being inquisitive can lead you into a dangerous situation,en,,,Curiosity killed the cat,Curiosity killed the cat
"Cockney rima za besedo \sun\""""",cockney rhyming slang for sun,en,,,Currant bun,Currant bun
Delati površno / varčevati na račun kakovosti,doing things in a slipshod way - to avoid expense or effort,en,,,Cut corners,Cut corners
Preiti naravnost k bistvu,leave out all the unnecessary details and get straight to the point,en,,,Cut to the chase,Cut to the chase
Vsakdanja rutina / monotono delo,the dull daily routine,en,,,Daily grind,Daily grind
"Cockney rima za besedo \boots\""""",cockney rhyming slang for boots,en,,,Daisy roots,Daisy roots
Posilstvo v okviru zmenka,the rape by a man of his partner on a date,en,,,Date rape,Date rape
Ambulantni kirurški poseg,minor surgery that does not require the patient to stay in hospital overnight,en,,,Day surgery,Day surgery
Premik ure za podaljšanje dnevne svetlobe,the adjustment of clocks to provide longer evening daylight,en,,,Daylight saving time,Daylight saving time
Popolna kopija / identična oseba ali stvar,an exact duplicate,en,,,Dead ringer,Dead ringer
Poniževalen izraz za privilegirano ali precenjeno osebo,derogatory reference to someone who has an unjustified reputation,en,,,Dead white European male,Dead white European male
Oseba ki se odpove alkoholu da lahko varno vozi druge,someone who agrees not to drink alcohol at a social event in order to be sober enough to drive others home,en,,,Designated driver,Designated driver
Zmanjšati intenzivnost / umiriti reakcijo,adjust a device to reduce sound or temperature - reduce one's emotional reaction to something,en,,,Dial down,Dial down
"Cockney rima za besedo \shirt\""""",cockney rhyming slang for shirt,en,,,Dicky Dirt,Dicky Dirt
Evfemizem za spolni odnos,euphemism for sex,en,,,Discussing Uganda,Discussing Uganda
"Cockney rima za besedo \telephone\""""",cockney rhyming slang for telephone,en,,,Dog and bone,Dog and bone
Najbolj vroči poletni dnevi,the hottest days of the summer season,en,,,Dog days of summer,Dog days of summer
Zelo dolgo časa,cockney rhyming slang for ears - a very long time,en,,,Donkey's years,Donkey's years
Ne škodi tistemu ki ti pomaga,don't hurt someone that helps you,en,,,Don't bite the hand that feeds you,Don't bite the hand that feeds you
Ne računaj na nekaj dokler se ne zgodi,don't count on receiving some benefit until you actually have it,en,,,Don't count your chickens before they hatch,Don't count your chickens before they hatch
Ne obžaluj stvari ki jih ne moreš popraviti,don't fret pointlessly about some mistake or loss when it can't be remedied,en,,,Don't cry over spilt milk,Don't cry over spilt milk
Ironična pripomba da nekdo ni posebej dober v nečem,said to someone who is a poor performer at a task - suggesting that they wouldn't be able to succeed at it professionally,en,,,Don't give up the day job,Don't give up the day job
Darila ne kritiziraj,when you receive a gift accept it with good grace and don't find fault with it,en,,,Don't look a gift horse in the mouth,Don't look a gift horse in the mouth
Ne tvegaj vsega na eni stvari,don't risk all your property on a single venture,en,,,Don't put all your eggs in one basket,Don't put all your eggs in one basket
Oblačenje jeansa z jeansom,denim jeans worn with a denim shirt or jacket,en,,,Double denim,Double denim
Dve tekmi ali dogodka zapored / hkratni športni dogodek,a sports expression denoting two events held at the same time,en,,,Double header,Double header
Odločeno v zadnjem trenutku,not decided until the very last minute,en,,,Down to the wire,Down to the wire
Oblečen zelo elegantno,very smartly dressed - in one's best clothes,en,,,Dressed to the nines,Dressed to the nines
Močno in pogosto piti alkohol,drink very heavily,en,,,Drink like a fish,Drink like a fish
Zelo razjeziti / zelo motiti,irritate or annoy very much,en,,,Drive someone up the wall,Drive someone up the wall
Veliko ljudi zboleva ali umira,many people either falling ill or dying,en,,,Dropping like flies,Dropping like flies
Vaja / poskusna izvedba,a rehearsal,en,,,Dry run,Dry run
Plačani prosti dan za počitek,a work day which an employee is allowed to spend at home relaxing,en,,,Duvet day,Duvet day
Zvok ki močno izstopa ali pritegne pozornost,sound that is loud or that catches the attention,en,,,Ear popping,Ear popping
Zelo enostavno,something that is extremely easy - often used by children - sometimes used by adults to demote an achievement that was accomplished with little apparent effort,en,,,Easy-peasy,Easy-peasy
Izločiti / ni več na voljo,referring to an item on a menu that is no longer available,en,,,Eighty six,Eighty six
Trdo fizično delo / močan napor,energetic labour - especially in the polishing of household items,en,,,Elbow grease,Elbow grease
"Cockney rima za \drunk\""""",cockney rhyming slang for drunk,en,,,Elephant's trunk,Elephant's trunk
Nima smisla čakati / konec nastopa,the primary performer has left - there's no point waiting around,en,,,Elvis has left the building,Elvis has left the building
Evfemizem za mučenje,euphemism for torture,en,,,Enhanced interrogation techniques,Enhanced interrogation techniques
Nasilno preganjanje ali uničevanje etnične skupine,the singling out and killing of a specific ethnic group,en,,,Ethnic cleansing,Ethnic cleansing
Vsaka slaba stvar ima lahko pozitivno plat,an encouragement to be optimistic - even bad events have a good side to them,en,,,Every cloud has a silver lining,Every cloud has a silver lining
Skoraj vse / vse mogoče,everything imaginable,en,,,Everything but the kitchen sink,Everything but the kitchen sink
Izmišljeni dvojnik ki pojasni nenavadno slabo vedenje,an imaginary double - humorously referred to in order to explain the uncharacteristic bad behaviour of a normally moral person - usually used light-heartedly - the expression formed as an allusion to plots in films involving actual evil twins,en,,,Evil twin,Evil twin
Oprostite za grob izraz / opravičilo za psovke,please forgive me for swearing,en,,,Excuse my French,Excuse my French
Presenetljivo / šokantno,something that creates shock or surprise,en,,,Eyebrow raising,Eyebrow raising
Kralj dana ali fant v kartah,the jack queen or king in a set of playing cards,en,,,Face card,Face card
Soočiti se s posledicami,accept he unwelcome consequences of one's own actions,en,,,Face the music,Face the music
Industrijska reja živali,rearing livestock under industrial conditions,en,,,Factory farming,Factory farming
Srečen konec,a happy simplistic ending to a story similar to those found in fairy tales,en,,,Fairytale ending,Fairytale ending
Zelo drugačen od,very different from,en,,,Far cry from,Far cry from
Divja tekmovalnost / agresivno izkoriščanje,a frantic competition or exploitation - like a group shark attack,en,,,Feeding frenzy,Feeding frenzy
Namig na ukradeno blago,a coy reference to an item that has been stolen,en,,,Fell off the back of a lorry,Fell off the back of a lorry
Dan poln dogajanja / velika priložnost,a day noted for remarkable or exciting events,en,,,Field day,Field day
Nesmisel / izraz blagega razočaranja,an exclamation meaning nonsense - rubbish - an indication of mild annoyance,en,,,Fiddlesticks,Fiddlesticks
Najti svojo rutino / pridobiti samozavest v novem okolju,to become conscious of and develop one's expertise,en,,,Find your feet,Find your feet
Navdihniti,inspire with enthusiasm,en,,,Fire the imagination,Fire the imagination
Najvplivnejši član med enakimi,the most senior person in a group of equal rank,en,,,First among equals,First among equals
Novoletno obiskovanje prijateljev in družine,making a round of visits at new year,en,,,First footing,First footing
Nepomembna težava privilegiranih,a relatively trivial problem only affecting the affluent,en,,,First World problem,First World problem
Razvite industrijske države,the industrialised affluent and wealthy nations,en,,,First World,First World
Nespremenljiv v navadah,unwilling to change from your habitual way of doing things,en,,,Fixed in your ways,Fixed in your ways
Tržnica z rabljenim in poceni blagom,a market used to buy and sell inexpensive goods - the kind of place that might sell carpets infested with fleas,en,,,Flea market,Flea market
Poceni ali zanemarjen kino,a downmarket cinema - allegedly verminous,en,,,Flea pit,Flea pit
Družina / telesna snov,1 - one's family - 2 - the bodily stuff we are made of,en,,,Flesh and blood,Flesh and blood
Pokazati sredinec,to aggressively raise your middle finger at someone as a sign of displeasure,en,,,Flip the bird,Flip the bird
Vztrajati pri nečem brez prihodnosti,to attempt to make progress with something that has no future,en,,,Flog a dead horse,Flog a dead horse
Različni ostanki / naplavine,assorted bits and pieces of rubbish - especially items that are found in the sea,en,,,Flotsam and jetsam,Flotsam and jetsam
Biti zelo jezen,to show vehement rage,en,,,Foam at the mouth,Foam at the mouth
Kaotično metanje hrane,chaotic collective behaviour where items of food are thrown about wildly,en,,,Food fight,Food fight
Nekaj kar se zdi dragoceno a ni,something that appears valuable but really isn't - like iron pyrites - a worthless mineral that resembles gold,en,,,Fools' gold,Fools' gold
Obleči se svečano,wear a smart or formal dress for a special occasion,en,,,Frock up,Frock up
"Cockney rima za \road\""""",cockney rhyming slang for road,en,,,Frog and toad,Frog and toad
Staromodna ali zadrta oseba,an old-fashioned and foolish type of person,en,,,Fuddy-duddy,Fuddy-duddy
Vse / celoten paket,everything possible - the whole thing,en,,,Full monty,Full monty
Prazno govorjenje,talking hot air,en,,,Full of bull,Full of bull
Psihiatrična bolnišnica,a mental hospital,en,,,Funny farm,Funny farm
Otroški izraz za konja,childish term for a horse,en,,,Gee gee,Gee gee
Oseba z namerno androginim videzom,a person who adopts a deliberately androgynous appearance - by use of uni-sex make-up - hair-style and clothing - probably influenced by 'bender' being an earlier slang term for homosexual,en,,,Gender bender,Gender bender
"Cockney rima za \daft\""""",cockney rhyming slang for daft,en,,,George Raft,George Raft
Prejeti pohvalo za dobro opravljeno delo,earn a merit point for doing well,en,,,Get a gold star,Get a gold star
Preiti k bistvu,concern yourself with the basic and important realities,en,,,Get down to brass tacks,Get down to brass tacks
